,0,1,voice
0,Afrikaans,af,af-ZA-AdriNeural
1,Albanian,sq,sq-AL-AnilaNeural
2,Amharic,am,am-ET-AmehaNeural
3,Arabic,ar,ar-AE-FatimaNeural
4,Armenian,hy,hy-AM-AnahitNeural
6,Azerbaijani,az,az-AZ-BabekNeural
7,Bangla,bn,bn-BD-NabanitaNeural
8,Bosnian,bs,bs-BA-GoranNeural
9,Bulgarian,bg,bg-BG-BorislavNeural
11,Catalan,ca,ca-ES-AlbaNeural
12,Chinese,lzh,wuu-CN-XiaotongNeural
15,Croatian,hr,hr-HR-GabrijelaNeural
16,Czech,cs,cs-CZ-AntoninNeural
17,Danish,da,da-DK-ChristelNeural
19,Dutch,nl,nl-BE-ArnaudNeural
20,English,en,en-AU-AnnetteNeural
21,Estonian,et,et-EE-AnuNeural
23,Filipino,fil,fil-PH-AngeloNeural
24,Finnish,fi,fi-FI-HarriNeural
25,French,fr,fr-BE-CharlineNeural
26,French,fr-ca,fr-BE-CharlineNeural
27,German,de,de-AT-IngridNeural
28,Greek,el,el-GR-AthinaNeural
29,Gujarati,gu,gu-IN-DhwaniNeural
31,Hebrew,he,he-IL-AvriNeural
32,Hindi,hi,hi-IN-MadhurNeural
34,Hungarian,hu,hu-HU-NoemiNeural
35,Icelandic,is,is-IS-GudrunNeural
36,Indonesian,id,id-ID-ArdiNeural
38,Irish,ga,ga-IE-ColmNeural
39,Italian,it,it-IT-BenignoNeural
40,Japanese,ja,ja-JP-AoiNeural
41,Kannada,kn,kn-IN-GaganNeural
42,Kazakh,kk,kk-KZ-AigulNeural
43,Khmer,km,km-KH-PisethNeural
46,Korean,ko,ko-KR-BongJinNeural
49,Lao,lo,lo-LA-ChanthavongNeural
50,Latvian,lv,lv-LV-EveritaNeural
51,Lithuanian,lt,lt-LT-LeonasNeural
53,Malay,ms,ms-MY-OsmanNeural
54,Malayalam,ml,ml-IN-MidhunNeural
55,Maltese,mt,mt-MT-GraceNeural
57,Marathi,mr,mr-IN-AarohiNeural
59,Nepali,ne,ne-NP-HemkalaNeural
60,Norwegian,nb,nb-NO-FinnNeural
62,Pashto,ps,ps-AF-GulNawazNeural
63,Persian,fa,fa-IR-DilaraNeural
64,Polish,pl,pl-PL-AgnieszkaNeural
65,Portuguese,pt,pt-BR-AntonioNeural
66,Portuguese,pt-pt,pt-BR-AntonioNeural
69,Romanian,ro,ro-RO-AlinaNeural
70,Russian,ru,ru-RU-DariyaNeural
72,Serbian,sr-Cyrl,sr-RS-NicholasNeural
73,Serbian,sr-Latn,sr-RS-NicholasNeural
74,Slovak,sk,sk-SK-LukasNeural
75,Slovenian,sl,sl-SI-PetraNeural
76,Spanish,es,es-AR-ElenaNeural
77,Swahili,sw,sw-KE-RafikiNeural
78,Swedish,sv,sv-SE-HilleviNeural
80,Tamil,ta,ta-IN-PallaviNeural
81,Telugu,te,te-IN-MohanNeural
82,Thai,th,th-TH-AcharaNeural
85,Turkish,tr,tr-TR-AhmetNeural
86,Ukrainian,uk,uk-UA-OstapNeural
87,Urdu,ur,ur-IN-GulNeural
88,Vietnamese,vi,vi-VN-HoaiMyNeural
89,Welsh,cy,cy-GB-AledNeural
